sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,2,3.0,4,sample,17.32303667599617,23.351865435842118,0.2131830779563569,70.0,0.16498130167615402,0.6320759466472706,1.6597232325956632
temperature,2,3.0,4,budget_absorption,39.426710505920916,40.199033420933254,0.4911852164858248,70.0,0.37549248100877064,5.513009366224104,3.39281366735932
temperature,2,3.0,8,uniform,139.55232614087384,210.05345218588914,1.7385685654985503,140.0,1.3290697727702272,0.8458323805274349,0.6858450263114386
temperature,2,3.0,8,sample,23.79421765302651,26.579400860384748,0.2886603257991306,140.0,0.22661159669549058,1.4795045076941722,3.0155287490892566
temperature,2,3.0,8,budget_absorption,106.84945852769613,110.41867432530547,1.3311502213819728,140.0,1.0176138907399632,4.535291309521667,3.335892799835481
temperature,2,3.0,10,uniform,182.34260563260125,265.813455754317,2.2716577435185297,175.0,1.7365962441200118,0.5615164357067548,0.5765562572635903
temperature,2,3.0,10,sample,18.45879944844872,25.19184071283479,0.2227760200246295,175.0,0.1757980899852259,0.5727234968781556,2.255192780234278
temperature,2,3.0,10,budget_absorption,108.03492249811745,110.15273836793482,1.3459189497256703,175.0,1.0289040237915947,5.569413776826262,3.3534851400759247
temperature,2,3.0,12,uniform,214.60186982063817,303.9100828579073,2.673549594513676,210.0,2.0438273316251254,0.7675624480563511,0.6716736423574833
temperature,2,3.0,12,sample,26.68358008730042,39.17310617969487,0.3208163461125475,210.0,0.2541293341647659,1.8781341133949907,2.3370760920905758
temperature,2,3.0,12,budget_absorption,41.682305332193806,49.780043694778506,0.5192858320033373,210.0,0.39697433649708386,0.9008678506546035,3.406047491989383
temperature,2,4.0,4,uniform,54.646700668882076,79.28777085266461,0.6807986553747607,52.5,0.5204447682750674,0.5154613526274702,0.664255352990637
temperature,2,4.0,4,sample,10.08137488563726,14.448913857107001,0.12406476810905193,52.5,0.09601309414892628,0.5692039516157502,1.374848210165504
temperature,2,4.0,4,budget_absorption,63.26478267341778,63.87260924161119,0.7881643072582664,52.5,0.602521739746836,3.5134794349597778,3.2704931935104677
temperature,2,4.0,8,uniform,104.81332185751609,144.91780239651735,1.3057836559672165,105.0,0.9982221129287246,0.8756581753648061,0.6896101206809768
temperature,2,4.0,8,sample,14.820116590673768,21.040228814258725,0.17979072671468363,105.0,0.14114396753022637,0.3632366694315875,2.04647366194196
temperature,2,4.0,8,budget_absorption,166.23815260355087,171.9282602334931,2.071025503446866,105.0,1.5832205009861988,3.7650553935246176,3.276509715134249
temperature,2,4.0,10,uniform,123.61695133787532,188.16194208009358,1.5400427330881052,131.25,1.1773042984559554,0.5393859966019678,0.7397280705205993
temperature,2,4.0,10,sample,13.185372341775189,18.797514267236703,0.15913195118929382,131.25,0.12557497468357323,0.09087931709102393,2.0907849430332734
temperature,2,4.0,10,budget_absorption,25.924412778375707,75.53215954176899,0.3229711061211173,131.25,0.24689916931786388,0.5652133695896688,2.9242264496144648
temperature,2,4.0,12,uniform,170.44786099403484,240.03854450532023,2.1234708254275456,157.5,1.623312961847951,0.6461589356824129,0.7915720176924262
temperature,2,4.0,12,sample,6.619974544054672,9.083658454249848,0.07959187026753133,157.5,0.06304737661004449,0.3736709225913639,1.9309207330167641
temperature,2,4.0,12,budget_absorption,19.37340538119915,72.93930461005039,0.24135745016827842,157.5,0.18450862267808713,0.2718447401211077,2.1743846409040892
temperature,4,1.0,4,uniform,109.74658292778702,155.7564620171537,1.3672431304120403,105.0,1.0452055516932097,0.6571753234906199,0.7292657542112196
temperature,4,1.0,4,sample,24.442735918775078,30.920633683358854,0.30080047593844994,105.0,0.2327879611311912,0.5529639967934491,2.0703373751879783
temperature,4,1.0,4,budget_absorption,35.22229433702817,43.04205071887832,0.4388058259758315,105.0,0.3354504222574111,0.06456667739168304,2.6650361252346073
temperature,4,1.0,8,uniform,207.09167462710147,279.39517184994287,2.579986200442691,210.0,1.9723016631152521,0.8321895961365116,0.8168795108984431
temperature,4,1.0,8,sample,32.0234616696357,44.21208471050795,0.38849366739306224,210.0,0.3049853492346257,0.47376720498644553,2.2826975992301457
temperature,4,1.0,8,budget_absorption,71.07128116144253,107.33136075816662,0.8854191023104901,210.0,0.6768693443946907,0.2788541309335846,2.261210214948565
temperature,4,1.0,10,uniform,242.93507530821557,345.56286218489373,3.026529883575912,262.5,2.3136673838877675,0.9679867589879058,0.757878469374079
temperature,4,1.0,10,sample,20.834668723438817,23.60661095490284,0.2514499704979133,262.5,0.198425416413703,1.105269421082897,2.512541869946125
temperature,4,1.0,10,budget_absorption,52.66795306053993,187.7482016088227,0.65614705345559,262.5,0.5015995529575231,0.31432171082754023,2.158149991452277
