dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5695984200469417,80.0,4000.0,0.2946926482435303,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,28.479921002347087,280,568,4,4077,5,traffic/intersection01/radar/EVO_RADAR_3/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5395260179564102,80.0,4000.0,0.1433507306941951,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,26.97630089782051,277,568,5,5077,5,traffic/intersection01/radar/EVO_RADAR_3/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5200175190190963,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9841549295774648,26.000875950954818,308,568,0,77,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7331180635549852,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9841549295774648,36.65590317774926,282,568,1,1077,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6394364352724775,80.0,4000.0,0.096602733166302,0.5088028169014085,0.063754800562759,1.0,0.9841549295774648,31.97182176362388,279,568,2,2077,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6695193532564574,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9841549295774648,33.47596766282287,272,568,3,3077,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5768317868388901,80.0,4000.0,0.2781468497397354,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,28.84158934194451,280,568,4,4077,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5408529361074116,80.0,4000.0,0.0826168854815075,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,27.042646805370577,277,568,5,5077,5,traffic/intersection01/radar/EVO_RADAR_4/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5006999491938239,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9947183098591548,25.034997459691198,308,568,0,77,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7248596222669512,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9947183098591548,36.24298111334756,282,568,1,1077,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6163930990955531,80.0,4000.0,0.1041464233774673,0.5088028169014085,0.063754800562759,1.0,0.9947183098591548,30.81965495477765,279,568,2,2077,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6466555794313712,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9947183098591548,32.33277897156856,272,568,3,3077,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5742616541690468,80.0,4000.0,0.2828455631601431,0.5070422535211268,0.0629243827160493,1.0,0.9947183098591548,28.713082708452344,280,568,4,4077,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5327360629913851,80.0,4000.0,0.0755723934414071,0.5123239436619719,0.0632490361871805,1.0,0.9947183098591548,26.636803149569253,277,568,5,5077,5,traffic/intersection01/lidar/OS1_LIDAR_1/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5252098734336839,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9947183098591548,26.26049367168419,308,568,0,77,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7454786069283743,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9947183098591548,37.27393034641872,282,568,1,1077,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6409328880221068,80.0,4000.0,0.1041464233774673,0.5088028169014085,0.063754800562759,1.0,0.9947183098591548,32.04664440110534,279,568,2,2077,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6650538763845968,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9947183098591548,33.25269381922984,272,568,3,3077,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5866827626420378,80.0,4000.0,0.2852034656317896,0.5070422535211268,0.0629243827160493,1.0,0.9947183098591548,29.334138132101888,280,568,4,4077,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5489018669481115,80.0,4000.0,0.0287253901664883,0.5123239436619719,0.0632490361871805,1.0,0.9947183098591548,27.44509334740557,277,568,5,5077,5,traffic/intersection01/lidar/OS1_LIDAR_2/speed
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4984120792683333,5.399881164587047,269.99405822935233,0.9642093460256684,0.4595070422535211,0.0635631928735377,5.926056338028169,5.926056338028169,24.920603963416667,307,568,0,77,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.575951017832644,5.399881164587047,269.99405822935233,0.148031200770276,0.5035211267605634,0.0631105394217282,5.926056338028169,5.926056338028169,28.7975508916322,282,568,1,1077,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.5408300458571997,5.399881164587047,269.99405822935233,0.1284594830103134,0.5193661971830986,0.0649240354748829,5.926056338028169,5.926056338028169,27.041502292859988,273,568,2,2077,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.551534041115202,5.399881164587047,269.99405822935233,0.1616450825151953,0.5211267605633803,0.0633016101766101,5.926056338028169,5.926056338028169,27.576702055760094,272,568,3,3077,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4687979081994792,5.399881164587047,269.99405822935233,0.1727842349838929,0.5105633802816901,0.0642067367498401,5.926056338028169,5.926056338028169,23.43989540997396,278,568,4,4077,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4123657627693686,5.399881164587047,269.99405822935233,1.0867800427012408,0.5123239436619719,0.0633061716824603,5.926056338028169,5.926056338028169,20.61828813846843,277,568,5,5077,1,traffic
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4984120792683333,5.399881164587047,269.99405822935233,0.9642093460256684,0.4595070422535211,0.0635631928735377,5.926056338028169,5.926056338028169,24.920603963416667,307,568,0,77,2,traffic/intersection01
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.575951017832644,5.399881164587047,269.99405822935233,0.148031200770276,0.5035211267605634,0.0631105394217282,5.926056338028169,5.926056338028169,28.7975508916322,282,568,1,1077,2,traffic/intersection01
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.5408300458571997,5.399881164587047,269.99405822935233,0.1284594830103134,0.5193661971830986,0.0649240354748829,5.926056338028169,5.926056338028169,27.041502292859988,273,568,2,2077,2,traffic/intersection01
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.551534041115202,5.399881164587047,269.99405822935233,0.1616450825151953,0.5211267605633803,0.0633016101766101,5.926056338028169,5.926056338028169,27.576702055760094,272,568,3,3077,2,traffic/intersection01
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4687979081994792,5.399881164587047,269.99405822935233,0.1727842349838929,0.5105633802816901,0.0642067367498401,5.926056338028169,5.926056338028169,23.43989540997396,278,568,4,4077,2,traffic/intersection01
