dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,3,energy/building01/CT1,uniform,1,1.0,8,8.025336104477244,0.0755267151186177,802.5336104477243,7.552671511861786,0.9005419933973878,0.0839675188962452,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,2.0,8,4.012672590929099,0.0377586207883616,401.26725909290985,3.77586207883618,0.8999093520279372,0.0846894192307799,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,4.0,8,2.0063408341550253,0.0188745763851244,200.63408341550252,1.8874576385124529,0.8993278579105078,0.0843862985242299,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT1,uniform,1,8.0,8,1.003174955767989,0.0094325597121384,100.31749557679888,0.9432559712138426,0.8948653728609682,0.0806774727121056,0.9993303571428572,0.0,1.0,0.0,0.9993303571428572,0.0,12
energy,current,static,3,energy/building01/CT10,n_weighted,6,0.1,8,0.4643152269947683,0.0095368833729874,46.43152269947683,0.9536883372987442,0.0826832869021615,0.0337602248678215,0.4967764346255384,0.0050442619904228,0.0630399715696959,0.0001086732924863,0.0855356398499374,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,0.25,8,0.3683718543063927,0.0124101471226646,36.83718543063927,1.2410147122664608,0.157445073466155,0.0453711206672992,0.49137140475198,0.0049923484523817,0.0638224916281698,0.000135291712359,0.0855356398499374,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,0.5,8,0.2935022940241649,0.0081414636702468,29.35022940241649,0.8141463670246832,0.2110035912657013,0.0646137847500418,0.4819230234820064,0.0047887439939125,0.0650264320329292,0.0001461855388161,0.0855356398499374,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,1.0,8,0.2327733195096498,0.014458897518487,23.27733195096499,1.4458897518487028,0.2783640842174822,0.0575818187709644,0.4708236078692898,0.0083214275464162,0.0674495520352487,0.0002525735191647,0.2467489163054351,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,2.0,8,0.1754920055156788,0.0056689548846063,17.549200551567882,0.5668954884606325,0.4030475329737886,0.1410590958294847,0.4377286832476494,0.0078318013152477,0.0716309746835925,0.000339381602718,0.129637348895373,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,4.0,8,0.1326176369300146,0.0063952893963916,13.261763693001468,0.6395289396391688,0.612282103734682,0.0933007586230574,0.3884628209403134,0.0092695166943082,0.0800706539773669,0.0006680950087706,0.2467489163054351,0.0,6
energy,current,static,3,energy/building01/CT10,n_weighted,6,8.0,8,0.0953020481910962,0.0054142956909666,9.530204819109622,0.5414295690966638,0.9331729975526528,0.1441127554063493,0.2982660886962321,0.0084690959887215,0.0937509298825347,0.0004978496987818,0.2467489163054351,0.0,6
