dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2297894340079888,1.0163621324377767,50.81810662188884,0.5510755529159443,0.5167629735086398,0.0672465654963494,7.871210216000223,7.86330011445161,11.489471700399443,17311,35823,1,1077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2285860476876578,1.0163621324377767,50.81810662188884,0.2719304664489144,0.5126873796164475,0.0674276628274504,7.871210216000223,7.86330011445161,11.42930238438289,17457,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2325169686894411,1.0163621324377767,50.81810662188884,0.3898214616936886,0.5136085754961895,0.0673063809722051,7.871210216000223,7.86330011445161,11.625848434472058,17424,35823,3,3077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2351197720232608,1.0163621324377767,50.81810662188884,0.3231180444816668,0.5174887642017698,0.0676748285578795,7.871210216000223,7.86330011445161,11.75598860116304,17285,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2304591571429875,1.0163621324377767,50.81810662188884,0.333990952304852,0.5114591184434581,0.0672283973834022,7.871210216000223,7.86330011445161,11.522957857149375,17501,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1437894786763073,2.0,100.0,0.9136908262220718,0.389745727386411,0.0803819323872799,1.0,0.9955537029317773,7.189473933815364,4392,7197,0,77,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1371984229101289,2.0,100.0,0.0865127091377303,0.4087814367097401,0.0795850271037218,1.0,0.9955537029317773,6.859921145506445,4255,7197,1,1077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1356236532211064,2.0,100.0,0.3708274538094285,0.3953035987216896,0.0799872944864157,1.0,0.9955537029317773,6.781182661055322,4352,7197,2,2077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1381400223014219,2.0,100.0,0.3649320621167949,0.4058635542587189,0.0797201082420185,1.0,0.9955537029317773,6.907001115071099,4276,7197,3,3077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1325719764903506,2.0,100.0,0.4557749064053326,0.3993330554397665,0.0802633175415012,1.0,0.9955537029317773,6.628598824517534,4323,7197,4,4077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,4,50.0,0.1380916595347108,2.0,100.0,0.5096816982035876,0.4058635542587189,0.0807179321686339,1.0,0.9955537029317773,6.904582976735541,4276,7197,5,5077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1641090863387631,3.0,150.0,0.3674086318878594,0.4193413922467695,0.0748493048443346,1.0,0.9955537029317773,8.205454316938157,4179,7197,0,77,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1577685382180404,3.0,150.0,0.3228812696830832,0.441017090454356,0.074592708016621,1.0,0.9955537029317773,7.88842691090202,4023,7197,1,1077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1545528641779626,3.0,150.0,0.5025980905558103,0.4262887314158677,0.0746151614754939,1.0,0.9955537029317773,7.72764320889813,4129,7197,2,2077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1582124792010982,3.0,150.0,0.3460131481656348,0.4353202723356954,0.0745364044757597,1.0,0.9955537029317773,7.910623960054914,4064,7197,3,3077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1530860588615219,3.0,150.0,0.5498963042412469,0.4299013477837988,0.0744288041556949,1.0,0.9955537029317773,7.654302943076096,4103,7197,4,4077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,6,50.0,0.1571639700340757,3.0,150.0,0.423328753429063,0.4355981659024593,0.0747985852531307,1.0,0.9955537029317773,7.858198501703789,4062,7197,5,5077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1873294424819775,4.0,200.0,0.3125134123644291,0.4389328887036265,0.0724888464916954,1.0,0.9955537029317773,9.36647212409888,4038,7197,0,77,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1794868628414402,4.0,200.0,0.489883009628711,0.4583854383771015,0.0719865724185214,1.0,0.9955537029317773,8.97434314207201,3898,7197,1,1077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1743953624211207,4.0,200.0,0.346448814384599,0.4411560372377379,0.0715120837168081,1.0,0.9955537029317773,8.719768121056035,4022,7197,2,2077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1778580216256776,4.0,200.0,0.4484837105267879,0.4499096845908017,0.0716779111698815,1.0,0.9955537029317773,8.892901081283885,3959,7197,3,3077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1727223346746504,4.0,200.0,0.539845688911705,0.4464360150062526,0.0716769272674968,1.0,0.9955537029317773,8.636116733732523,3984,7197,4,4077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.175750346559952,4.0,200.0,0.4246038201500042,0.4531054606085869,0.0717473372142185,1.0,0.9955537029317773,8.787517327997602,3936,7197,5,5077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.2042730300228916,5.0,250.0,0.3277442975000571,0.4489370571071279,0.0706164627009566,1.0,0.9955537029317773,10.213651501144582,3966,7197,0,77,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.198306864546394,5.0,250.0,0.5589603728056342,0.4667222453800194,0.0701128892443271,1.0,0.9955537029317773,9.9153432273197,3838,7197,1,1077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1938407814431125,5.0,250.0,0.226622202864377,0.4506044185077115,0.0696944749326803,1.0,0.9955537029317773,9.692039072155625,3954,7197,2,2077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1907117812022326,5.0,250.0,0.3446784347881449,0.4590801722940114,0.070070578382473,1.0,0.9955537029317773,9.53558906011163,3893,7197,3,3077,3,energy/building01/CT1
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1877690388156521,5.0,250.0,0.4696012449236884,0.4557454494928442,0.069799629570971,1.0,0.9955537029317773,9.388451940782607,3917,7197,4,4077,3,energy/building01/CT1
