stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,7.715864228406406,385.7932114203203,0.8627856332025574,0.0640373197625106,1.0,0.0640373197625106,0.0
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,9.462330324803354,473.1165162401677,0.7362737743655884,0.0640373197625106,1.0,0.0640373197625106,0.0
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,8.096192732817046,404.8096366408523,1.0728576680721742,0.0640373197625106,1.0,0.0640373197625106,0.0
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,8.836658390695234,441.8329195347617,0.8610460207148101,0.0640373197625106,1.0,0.0640373197625106,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.898406671622224,394.9203335811112,0.726497503463403,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.981610181421644,399.0805090710822,0.8584082497491762,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.055183943333793,402.75919716668966,0.9381486940329774,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.9817209678707775,399.0860483935389,0.9850367638584164,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.991708750691989,399.58543753459946,0.9135960844429744,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT10,energy,power_kw,static,3,energy/building01/CT10,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984845079930089,399.2422539965045,0.9945384415650522,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.7241539239416035,386.20769619708017,0.8827566711276015,0.0717795342875454,1.0,0.0717795342875454,0.0
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.863533748153625,393.1766874076813,1.1113990385593688,0.0717795342875454,1.0,0.0717795342875454,0.0
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,7.940073479896765,397.0036739948383,0.8576382601921894,0.0717795342875454,1.0,0.0717795342875454,0.0
