dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,n_sensor_types,avg_n_tau,trial,seed,normalized_mae,kl_divergence,release_rate,eps_count_spent,dp_count_releases,epsilon,w,P,P_max,rho_split
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,2,2077,0.2855978289942605,0.1920691817220843,0.536,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,3,3077,0.2598801213140366,0.3232755012492174,0.532,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,4,4077,0.2709468128731639,0.1928218608615886,0.512,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,5,5077,0.227178974307181,0.256787942861047,0.52,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,0,77,0.2837453665531994,0.2947529487961552,0.476,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,1,1077,0.3165286762182783,0.3087975157248944,0.501,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,2,2077,0.2366976500962556,0.2725950639142924,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,3,3077,0.3213500724702205,0.1709367297603136,0.496,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,4,4077,0.2368797339726393,0.2945389829058731,0.473,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/sorting,0.2,5,5,3.0,5,5077,0.2265954268875439,0.24543357646615,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/processing,0.2,5,5,3.0,0,77,0.2833804567656971,0.301561319525907,0.476,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/processing,0.2,5,5,3.0,1,1077,0.3160622375333561,0.3087685598836973,0.501,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,3,factory/line1/processing,0.2,5,5,3.0,2,2077,0.2363207020593473,0.267310037766457,0.485,12.499999999999824,1000,1.0,8,6,,0.1
