dataset,sensor,clamp_mode,subscription_level,scope,approach,epsilon,w,P,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,eps_count_spent,compute_ms_per_element,noise_scale,strategy,P_min,P_max
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,3,3077,0.8664118438477887,43.32059219238944,0.5375207211342924,0.397496871088861,0.0637029091949448,1398.249999999276,0.1682401810510121,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,4,4077,0.8310074341977799,41.55037170988899,0.4780597914223195,0.3957804398355086,0.0635909060396344,1398.249999999276,0.1674376367265783,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,5,5077,0.8526438386399658,42.63219193199829,0.3422048637584605,0.3964598605399607,0.0646494674321426,1398.249999999276,0.1776603331358764,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,0,77,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,1,1077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,2,2077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,3,3077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,4,4077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,classic,1.0,8,6,50.0,5,5077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,0,77,7.862025877591948,393.1012938795974,1.0612736741036255,1.0,1.0,0.0,0.0116167869965089,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,1,1077,7.830439311362619,391.52196556813095,0.8248954174936303,1.0,1.0,0.0,0.011510076664566,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,2,2077,7.888884289858981,394.4442144929491,0.7350806278042783,1.0,1.0,0.0,0.0116487359062342,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,3,3077,8.030122974001152,401.5061487000576,1.106284054274917,1.0,1.0,0.0,0.0115848534592635,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,4,4077,8.061905521467885,403.0952760733943,0.8822625065440186,1.0,1.0,0.0,0.0123000736525855,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,ldp,1.0,8,6,50.0,5,5077,8.03814563056455,401.9072815282275,0.7290778633240811,1.0,1.0,0.0,0.0115631234250372,400.0,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,0,77,7.335914934772758,366.7957467386379,0.6833007539011422,0.3454545454545454,1.0,0.0,0.1617074677011347,,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,1,1077,7.425575036358715,371.27875181793576,1.022356465479532,0.3454545454545454,1.0,0.0,0.1691458992204333,,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,2,2077,7.53357396955867,376.6786984779335,0.8497684870149705,0.3454545454545454,1.0,0.0,0.1616141495498144,,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,3,3077,8.159348689589264,407.9674344794632,0.8064177537292108,0.3454545454545454,1.0,0.0,0.2059246748951148,,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,4,4077,7.8100300092609185,390.50150046304594,0.9770757998193736,0.3454545454545454,1.0,0.0,0.1610750821936028,,,,
energy,power_kw,static,3,energy/building01/CT4,per_type_wevent,1.0,8,6,50.0,5,5077,7.814539067335641,390.726953366782,0.8384449020288817,0.3454545454545454,1.0,0.0,0.1615355736847185,,,,
energy,power_kw,static,3,energy/building01/CT4,ours,1.0,8,6,50.0,0,77,0.9051643892920018,45.25821946460009,0.3338122077910013,0.3810640971931294,0.0646889540990386,596.750000000005,0.1677747412612423,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT4,ours,1.0,8,6,50.0,1,1077,0.8421382941447066,42.10691470723533,0.8299557474516315,0.3925429409300377,0.0636326556247428,596.750000000005,0.1686159132737518,,p_gated_uniform,6.0,
