P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9676258992805755,695,True,1,r1_probe_P=4,1
6,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.33213429256594723,695,True,1,r1_probe_P=6,1
5,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.7841726618705036,695,True,1,r1_stop_local_optimum,1
4,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9676258992805755,286,True,0,seed,0
3,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9988009592326139,286,True,1,probe_P=3,0
5,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.7841726618705036,286,True,1,probe_P=5,0
4,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9676258992805755,286,True,1,stop_local_optimum,0
5,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.7841726618705036,286,True,0,r1_seed,1
4,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.9676258992805755,286,True,1,r1_probe_P=4,1
6,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.33213429256594723,286,True,1,r1_probe_P=6,1
5,budget_distribution,1.8479771859777876,0.4203749132083698,0.657074340527578,0.20258515815085154,1.916562317872272,5.08273381294964,0.7841726618705036,286,True,1,r1_stop_local_optimum,1
4,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9676258992805755,388,True,0,seed,0
3,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9988009592326139,388,True,1,probe_P=3,0
5,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.7841726618705036,388,True,1,probe_P=5,0
4,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9676258992805755,388,True,1,stop_local_optimum,0
5,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.7841726618705036,388,True,0,r1_seed,1
4,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.9676258992805755,388,True,1,r1_probe_P=4,1
6,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.33213429256594723,388,True,1,r1_probe_P=6,1
5,budget_absorption,1.5725601286031654,0.6281999469901033,0.5347721822541966,0.20261584454409567,1.6656056921523261,5.08273381294964,0.7841726618705036,388,True,1,r1_stop_local_optimum,1
4,p_gated_uniform,0.610517026099428,0.24680656034524417,0.5107913669064749,0.061877725351521654,0.7083587527181331,5.08273381294964,0.9676258992805755,408,True,0,seed,0
3,p_gated_uniform,0.673254683274384,0.2160810470390458,0.5215827338129496,0.06945750710982046,0.7689381365117941,5.08273381294964,0.9988009592326139,399,True,1,probe_P=3,0
5,p_gated_uniform,0.5652153076615929,0.7951050454086311,0.49160671462829736,0.05742456018733376,0.6668939647359334,5.08273381294964,0.7841726618705036,424,True,1,probe_P=5,0
5,p_gated_uniform,0.5652153076615929,0.7951050454086311,0.49160671462829736,0.05742456018733376,0.6668939647359334,5.08273381294964,0.7841726618705036,424,True,1,step_to_P=5,0
